Antlr;compiling control programs and expressions;http://www.antlr.org;3.5.2
Apache Batik;exporting images to SVG, EPS, ...;https://xmlgraphics.apache.org/batik/;1.17
Apache FOP;exporting displayed graphs to PDF format;https://xmlgraphics.apache.org/fop/;2.9
Args4J;command-line option parsing;http://args4j.kohsuke.org/;2.0.26
JAXB;access to an XML document from a Java program;https://eclipse-ee4j.github.io/jaxb-ri/;3.0.2
EMF;converting to and from Eclipse ecore format;http://eclipse.org;2.7.0
Gnu Prolog;interpreting Prolog queries;http://www.gnu.org/software/gnuprologjava/;0.2.6
Groovy;easy and flexible access to the GROOVE API;https://groovy-lang.org/;5.0.7
Jakarta activation;dynamic data manipulation;https://projects.eclipse.org/projects/ee4j.jaf;2.0.1
Jakarta bind;mapping between XML documents and Java objects;https://jakarta.ee/specifications/xml-binding/;3.0.1
Java Annotations;runtime analysis of Java annotations;https://wiki.eclipse.org/JDT_Core/Null_Analysis;2.2.700
JGoodies Looks;platform-dependent look&feel;http://www.jgoodies.com/freeware/libraries/looks/;2.7.0
JGraph;displaying graphs and rules;http://www.jgraph.com;5.13.0.0
ltl2buchi;translating LTL formulae to B�chi automata;https://github.com/esb-lwb/lwb;2010.12
OpenCSV;reading (and writing) comma-separated value files;https://opencsv.sourceforge.net/;5.12.0
OSXAdapter;supporting Mac OS X-specific features;https://developer.apple.com/library/archive/samplecode/OSXAdapter;2.0
RSyntaxTextArea;editing syntax-highlighted control and Prolog programs;https://github.com/bobbylight/RSyntaxTextArea;3.6.3
Xerces;XML parsing;http://xerces.apache.org;2.12.2
XML resolver;interoperable URL resolution;https://xerces.apache.org/xml-commons/components/resolver/;1.2
